Group,Marker Icon,Marker Color,Icon Color,Custom Size,Project,Developer,Hotline,Image,Logo,Website,Brochure,Head Offices,Area,BUA,Consulting,Facebook,Instagram,Launched,Delivery,Finishing,St.Apt.A,End.Apt.A,St.Apt.P,End.Apt.P,Apartment,D.P,Inst.,Del.P,Payment Plan,Cash Dis.,Long Install.,Garage,Club,Maintenance,Latitude,Longitude
Residential,home,LightGreen,black,,Aswar Residences,United Real Estate Company,965 1805225+,https://www.urc.com.kw/wp-content/uploads/2018/01/Aswar003.jpg,https://www.urc.com.kw/wp-content/uploads/2020/11/Logo-URC-white_blue.png,<a href='https://www.urc.com.kw/ar/project/%D8%A3%D8%B3%D9%88%D8%A7%D8%B1-%D8%B1%D8%B2%D9%8A%D8%AF%D9%86%D8%B3%D8%B2/' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,"Khalid Ibn Al Waleed St, Al Kuwayt",,,,,,,,,,,,,,,,,,,,,,,30.0279617,31.5318328
Residential,home,LightGreen,black,,Alkatamya dunes,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0019083,31.519917
Residential,home,LightGreen,black,,Fountain Park,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0245072,31.5320047
Residential,home,LightGreen,black,,Lake View Residence,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0242754,31.5381911
Residential,home,LightGreen,black,,Galleria Residence,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.019998,31.5386692
Residential,home,LightGreen,black,,Hyde Park,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9819217,31.547324
Residential,home,LightGreen,black,,كمبوند درة الكرز,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9933304,31.5418517
Residential,home,LightGreen,black,,New Lotus,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0272581,31.5264308
Residential,home,LightGreen,black,,Eagles Compound,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0206793,31.5309341
Residential,home,LightGreen,black,,EVORA,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0202851,31.5348728
Residential,home,LightGreen,black,,Azzar 2,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0415462,31.5452624
Residential,home,LightGreen,black,,Beit El Watan,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,30.0508439,31.56811
Residential,home,LightGreen,black,,Iwan East,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.987183,31.5355588
Residential,home,LightGreen,black,,IMKAN MISR,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9784094,31.5376813
Residential,home,LightGreen,black,,The Square Compound,,,,,<a href='@' target='_blank'>Website</a>,<a href='@' target='_blank'>Brochure</a>,,,,,,,,,,,,,,,,,,,,,,,,29.9982286,31.5516133
